facility_name,longitude,latitude,description,address1,city,state,fac_zip
William F Ryan Community Health Center Inc,"-73.968941","40.795902",Diagnostic and Treatment Center Extension Clinic,801 Amsterdam Avenue,New York,New York,"10025"
Maimonides Adult Primary Care 57th Street,"-73.997711","40.631046",Hospital Extension Clinic,1250 57th St,Brooklyn,New York,"11219"
Methadone Clinic III,"-73.903755","40.669186",Hospital Extension Clinic,211-221 Powell Street,Brooklyn,New York,"11212"
Woodside Houses Child Health Center,"-73.910857","40.753465",Diagnostic and Treatment Center Extension Clinic,50-53 Newton Road,Woodside,New York,"11377"
Bedford Health Clinic,"-73.941377","40.685631",Diagnostic and Treatment Center Extension Clinic,485 Throop Avenue,Brooklyn,New York,"11221"
Staten Island University Hosp-North,"-74.086998","40.584141",Hospital,475 Seaview Avenue,Staten Island,New York,"10305"
Main Street Radiology at Bayside,"-73.829971","40.76186",Diagnostic and Treatment Center Extension Clinic,136-25 37th Avenue,Flushing,New York,"11354"
Project Renewal Inc. Mobile Medical Van (MedVan II),"-73.895985","40.8478",Mobile Diagnostic and Treatment Center Extension Clinic,514 East 178th Street,Bronx,New York,"10457"
Franklin Women's Shelter,"-73.905624","40.828342",Diagnostic and Treatment Center Extension Clinic,1122 Franklin Avenue,Bronx,New York,"10456"
Judson Health Center,"-73.995766","40.721695",Diagnostic and Treatment Center Extension Clinic,34 Spring Street,New York,New York,"10012"
Morris Heights Center 233rd Street,"-73.853622","40.892262",Diagnostic and Treatment Center Extension Clinic,825 East 233rd Street,Bronx,New York,"10466"
Jamaica Hospital Sleep Center,"-73.815895","40.700286",Hospital Extension Clinic,"Trump Pavilion, Lower Level",Jamaica,New York,"11418"
Far Rockaway HS Clinic,"-73.762741","40.601585",School Based Hospital Extension Clinic,821 Bay 25th Street,Far Rockaway,New York,"11691"
Montefiore Wakefield Behavioral Health and Substance Use Disorders Clinic,"-73.85759","40.900204",Hospital Extension Clinic,4401 Bronx Blvd,Bronx,New York,"10470"
RAMBAM Family Health Center,"-73.96315","40.617302",Diagnostic and Treatment Center Extension Clinic,1122 Chestnut Avenue,Brooklyn,New York,"11230"
FMS-Bayside Dialysis Center,"-73.782066","40.757553",Diagnostic and Treatment Center Extension Clinic,201-10 Northern Blvd,Bayside,New York,"11361"
PS 155-William Pacca,"-73.93605","40.797218",School Based Diagnostic and Treatment Center Extension Clinic,319 East 117th Street,New York,New York,"10035"
Lower Eastside Service Center Inc,"-73.995163","40.713696",Diagnostic and Treatment Center Extension Clinic,62 East Broadway,New York,New York,"10002"
Premier Healthcare D & T Center,"-73.998718","40.754345",Diagnostic and Treatment Center,220 East 42nd Street,New York,New York,"10017"
Morris High School,"-73.904419","40.827625",School Based Hospital Extension Clinic,1110 Boston Road,Bronx,New York,"10456"
HSS West Side ASC,"-73.991389","40.771095",Diagnostic and Treatment Center,600-610 West 58th Street,New York,New York,"10019"
HSS Sports Performance Center,"-73.952377","40.765446",Hospital Extension Clinic,525 East 71st Street,New York,New York,"10021"
PS18,"-73.922745","40.816223",School Based Hospital Extension Clinic,502 Morris Avenue,Bronx,New York,"10451"
CHN - C A B S Clinic,"-73.944572","40.705627",Diagnostic and Treatment Center Extension Clinic,94-98 Manhattan Avenue,Brooklyn,New York,"11206"
P.S. 96,"-73.937828","40.80032",School Based Hospital Extension Clinic,216 East 120th Street,New York,New York,"10035"
ParCare Community Health Network,"-73.958878","40.696579",Diagnostic and Treatment Center,445 Park Ave,Brooklyn,New York,"11205"
Allhealth D & T Center-Brooklyn,"-73.966454","40.630699",Diagnostic and Treatment Center Extension Clinic,1100 Coney Island Avenue,Brooklyn,New York,"11230"
"Doctors United, Inc.","-73.855682","40.893177",Diagnostic and Treatment Center Extension Clinic,741 East 233rd Street,Bronx,New York,"10466"
P.S. 335 Granville T. Woods,"-73.92798","40.674521",School Based Hospital Extension Clinic,130 Rochester Avenue,Brooklyn,New York,"11213"
Myrtle Avenue Family Health Center,"-73.832008","40.70023",Diagnostic and Treatment Center Extension Clinic,117-11 Myrtle Avenue,Richmond Hill,New York,"11418"
"New York Community Hospital of Brooklyn, Inc","-73.948967","40.613419",Hospital,2525 Kings Highway,Brooklyn,New York,"11229"
Joseph P Addabbo Family Health Center,"-73.793083","40.685352",Diagnostic and Treatment Center Extension Clinic,114-39 Sutphin Boulevard,Jamaica,New York,"11434"
South Bronx Dialysis Center,"-73.900246","40.848717",Diagnostic and Treatment Center Extension Clinic,1940 Webster Avenue,Bronx,New York,"10457"
PS 38 Pacific,"-73.983025","40.68536",School Based Hospital Extension Clinic,450 Pacific Street,Brooklyn,New York,"11231"
"Century Medical & Dental Center, Inc.","-73.973213","40.590153",Diagnostic and Treatment Center,260 Avenue X,Brooklyn,New York,"11223"
"New York GI Center, LLC","-73.842094","40.846287",Diagnostic and Treatment Center,1200 Waters Place,Bronx,New York,"10461"
SUNY-Parkside Dialysis Center,"-73.949722","40.656219",Hospital Extension Clinic,710 Parkside Ave,Brooklyn,New York,"11203"
Morrisania Diagnostic & Treatment Center,"-73.919319","40.837208",Diagnostic and Treatment Center,1225-1257 Gerard Ave,Bronx,New York,"10452"
Central Park Dialysis Center,"-73.951065","40.794212",Diagnostic and Treatment Center Extension Clinic,1249 5th Avenue,New York,New York,"10029"
Union Community Health Center,"-73.896179","40.860882",Diagnostic and Treatment Center,260 East 188th Street,Bronx,New York,"10458"
PS 13,"-73.893684","40.663635",School Based Hospital Extension Clinic,557 Pennsylvania Avenue,Brooklyn,New York,"11207"
PS 279,"-73.905052","40.8549",School Based Diagnostic and Treatment Center Extension Clinic,2100 Walton Avenue,Bronx,New York,"10453"
"Newtown Dialysis Center, Inc","-73.92173","40.768738",Diagnostic and Treatment Center,29-20 Newtown Avenue,Astoria,New York,"11102"
Doctor's United Inc.-Bronx,"-73.884384","40.842155",Diagnostic and Treatment Center Extension Clinic,907 E. Tremont Avenue,Bronx,New York,"10451"
Premier Healthcare Bayside,"-73.771767","40.759819",Diagnostic and Treatment Center Extension Clinic,211-11 Northern Boulevard,Bayside,New York,"11360"
X 113,"-73.860834","40.880854",School Based Hospital Extension Clinic,3710 Barnes Ave,Bronx,New York,"10467"
J.H.S. 062 Ditmas,"-73.97124","40.638574",School Based Hospital Extension Clinic,700 Cortelyou Road,Brooklyn,New York,"11218"
Park West Educational Campus,"-73.992892","40.765225",School Based Diagnostic and Treatment Center Extension Clinic,525 West 50th St,New York,New York,"10019"
Campus Magnet High School,"-73.745186","40.698013",School Based Hospital Extension Clinic,207-01 116th Ave,Cambria Heights,New York,"11411"
IS45 Educational Campus,"-73.933101","40.799306",School Based Hospital Extension Clinic,2351 1st Avenue,Manhattan,New York,"10035"
Weill Cornell Imaging at NYP-61 Street,"-73.959633","40.760326",Diagnostic and Treatment Center Extension Clinic,425 East 61 Street,New York,New York,"10021"
Rogosin Kidney Center,"-73.954529","40.765518",Diagnostic and Treatment Center,505 East 70th Street 2nd Fl,New York,New York,"10021"
Low Lead Clinic,"-73.882523","40.878334",Hospital Extension Clinic,91 East Mosholu Parkway,Bronx,New York,"10467"
Sun River Health The Hub,"-73.915253","40.815529",Diagnostic and Treatment Center Extension Clinic,459 East 149th Street,Bronx,New York,"10455"
Bedford Stuyvesant Family Health Center Inc,"-73.942635","40.679958",Diagnostic and Treatment Center,1456 Fulton Street,Brooklyn,New York,"11216"
PS 347,"-73.981506","40.738209",School Based Hospital Extension Clinic,225 East 23rd Street,New York,New York,"10016"
Century Medical & Dental Center,"-73.99267","40.77044",Diagnostic and Treatment Center Extension Clinic,827 11th Avenue,New York,New York,"10019"
JHS 117 (Alternative Education Complex),"-73.941544","40.792706",School Based Hospital Extension Clinic,240 East 109th Street,New York,New York,"10029"
Jacobi Medical Center,"-73.846741","40.857388",Hospital,1400 Pelham Parkway,Bronx,New York,"10461"
X 174,"-73.856491","40.814825",School Based Hospital Extension Clinic,456 White Plains Rd,Bronx,New York,"10473"
Flatbush Family Health Center at NYU Langone,"-73.945496","40.650967",Hospital Extension Clinic,3414 Church Avenue,Brooklyn,New York,"11203"
Harlem Children's Zone Promise Academy 1,"-73.948166","40.812549",School Based Diagnostic and Treatment Center Extension Clinic,"245 W. 129th Street, 1st floor",New York,New York,"10027"
Health Center at Gunhill,"-73.857873","40.874581",Diagnostic and Treatment Center Extension Clinic,1012 East Gunhill Road,Bronx,New York,"10469"
Chemical Dependence Treatment Program,"-74.077621","40.62706",Hospital Extension Clinic,111 Water Street,Staten Island,New York,"10304"
START Treatment & Recovery Centers,"-73.899811","40.66544",Diagnostic and Treatment Center Extension Clinic,494-500 Dumont Ave,Brooklyn,New York,"11207"
START Treatment & Recovery Centers,"-73.985657","40.697178",Diagnostic and Treatment Center,22 Chapel Street,Brooklyn,New York,"11201"
J-Cap Inc Thomas & Marie White Health Center,"-73.792503","40.681648",Diagnostic and Treatment Center,116-30 Sutphin Blvd,Jamaica,New York,"11434"
Intermediate School 164 Edward W. Stitt,"-73.937088","40.836563",School Based Hospital Extension Clinic,401 West 164th Street,New York,New York,"10032"
Psych/Alcoholism Treatment Pgm,"-74.085442","40.583042",Hospital Extension Clinic,450 Seaview Avenue,Staten Island,New York,"10305"
NYU Langone Ambulatory Surgery Center,"-73.985752","40.717055",Hospital Extension Clinic,171 Delancey Street,New York,New York,"10002"
University Hospital of Brooklyn - SUNY Downstate at Bay Ridge,"-74.023712","40.615116",Hospital Extension Clinic,699 92nd Street,Brooklyn,New York,"11228"
Erasmus Hall High School,"-73.958427","40.649574",School Based Hospital Extension Clinic,911 Flatbush Avenue,Brooklyn,New York,"11226"
"River Renal Services, Inc","-73.976509","40.739605",Diagnostic and Treatment Center,462 First Avenue,New York,New York,"10016"
Michael Callen-Audre Lorde Community Health Center,"-74.003014","40.743156",Diagnostic and Treatment Center,356 West 18th Street,New York,New York,"10011"
C.I.S. 303,"-73.916054","40.849052",School Based Diagnostic and Treatment Center Extension Clinic,1700 Macombs Rd,Bronx,New York,"10453"
Corona District Health Center,"-73.872088","40.754088",Diagnostic and Treatment Center Extension Clinic,34-33 Junction Boulevard,Corona,New York,"11372"
P S 8,"-73.883621","40.87252",School Based Hospital Extension Clinic,3010 Briggs Avenue,Bronx,New York,"10458"
STD Center,"-73.879616","40.876602",Hospital Extension Clinic,3230 Bainbridge Avenue,Bronx,New York,"10467"
START Treatment & Recovery Centers,"-73.946411","40.807346",Diagnostic and Treatment Center Extension Clinic,119 West 124th Street,New York,New York,"10027"
BronxCare Third Avenue Medical and Dental Practice,"-73.921035","40.814353",Diagnostic and Treatment Center Extension Clinic,2739-2745 3rd Avenue,Bronx,New York,"10451"
Premium Health Peds Center,"-73.99167","40.628939",Diagnostic and Treatment Center Extension Clinic,5506 15th Avenue,Brooklyn,New York,"11219"
35th Street Health Center,"-73.992867","40.752907",Diagnostic and Treatment Center Extension Clinic,500 Eighth Avenue  3rd Floor,New York,New York,"10018"
7th Avenue Family Heatlh Center at NYU Langone,"-74.006058","40.642391",Hospital Extension Clinic,5008 7th Avenue,Brooklyn,New York,"11220"
"SurgiCare of Manhattan, LLC","-73.972107","40.749851",Diagnostic and Treatment Center,800 Second Avenue,New York,New York,"10017"
Mount Sinai Brooklyn Ambulatory Infusion Center,"-73.943583","40.617576",Hospital Extension Clinic,3131 Kings Highway,Brooklyn,New York,"11234"
Williamsbridge Dialysis Center,"-73.866557","40.878051",Diagnostic and Treatment Center Extension Clinic,"3525 White Plains Road, Suite B",Bronx,New York,"10467"
The Institute for Family Health at Westchester Square,"-73.841347","40.839302",Diagnostic and Treatment Center Extension Clinic,1420 Ferris Place,Bronx,New York,"10461"
Memorial Sloan Kettering 60th Street Outpatient Center,"-73.971374","40.764243",Hospital Extension Clinic,16 East 60th Street,New York,New York,"10022"
St. Lawrence Community Health Center,"-73.867867","40.831394",Diagnostic and Treatment Center Extension Clinic,1764-1766 Westchester Avenue,Bronx,New York,"10472"
Floating Hospital (Incorporated),"-73.90306","40.77393",Diagnostic and Treatment Center,21-01 41st Avenue,Long Island City,New York,"11101"
"Lafayette Medical Approach, LLC","-73.996964","40.722435",Diagnostic and Treatment Center,233 Lafayette Street,New York,New York,"10012"
Maimonides Cancer Center,"-74.011429","40.633774",Hospital Extension Clinic,6300 Eighth Avenue,Brooklyn,New York,"11220"
Thelma C. Davidson Adair Medical/Dental clinic,"-73.953293","40.809978",Diagnostic and Treatment Center Extension Clinic,565 Manhattan Avenue,New York,New York,"10027"
Christopher Columbus High School Campus,"-73.860725","40.860435",School Based Hospital Extension Clinic,925 Astor Avenue,Bronx,New York,"10469"
Ramon Velez Health Center,"-73.907143","40.814598",Diagnostic and Treatment Center Extension Clinic,754 East 151st Street,Bronx,New York,"10459"
HSS Brooklyn Outpatient Center,"-74.011391","40.655578",Hospital Extension Clinic,148-168 39th Street,Brooklyn,New York,"11232"
South Brooklyn Endoscopy Center,"-73.980148","40.607971",Diagnostic and Treatment Center,214 Avenue P,Brooklyn,New York,"11204"
Burke Rehabilitation Outpatient Clinic-Hutch Metro,"-73.837368","40.853553",Hospital Extension Clinic,1250 Waters Place,Bronx,New York,"10461"
Blavatnik Family - Chelsea Medical Center at Mount Sinai,"-74.003242","40.741028",Hospital Extension Clinic,325 West 15th Street,New York,New York,"10011"
Montefiore-Einstein Cancer Center,"-73.844734","40.846722",Hospital Extension Clinic,1695 Eastchester Road,Bronx,New York,"10461"
"Chinatown Dialysis Center, LLC","-73.998856","40.718533",Diagnostic and Treatment Center,213 Hester Street,New York,New York,"10013"
Broadway Clinic,"-73.926247","40.865959",Hospital Extension Clinic,4781-4783 Broadway,New York,New York,"10034"
St Johns Episcopal Hospital So Shore,"-73.752769","40.598637",Hospital,327 Beach 19th Street,Far Rockaway,New York,"11691"
The Birthing Center of NY Inc,"-74.025407","40.637515",Diagnostic and Treatment Center,6702-6706 Third Avenue,Brooklyn,New York,"11220"
Comprehensive Health Care Center,"-73.917442","40.825314",Hospital Extension Clinic,301-305 East 161st Street,Bronx,New York,"10451"
PS 217,"-73.966389","40.633968",School Based Hospital Extension Clinic,1100 Newkirk Ave,Brooklyn,New York,"11230"
HSS West Side Outpatient Center,"-73.991389","40.771095",Hospital Extension Clinic,600-610 West 58th Street,New York,New York,"10019"
Gouverneur Diagnostic and Treatment Center,"-73.987694","40.712891",Diagnostic and Treatment Center,227 Madison Street,New York,New York,"10002"
"Healthcare Choices NY, Inc.","-73.894158","40.679998",Diagnostic and Treatment Center Extension Clinic,179 Jamaica Avenue,Brooklyn,New York,"11207"
Starhill Clinic,"-73.917061","40.845989",Diagnostic and Treatment Center Extension Clinic,1600 Macombs Rd,Bronx,New York,"10452"
"Brooklyn Comprehensive Care Center, Inc.","-73.987053","40.597904",Diagnostic and Treatment Center,2501 86th Street,Brooklyn,New York,"11214"
Fresenius Kidney Care - Queens Village,"-73.74471","40.73027",Diagnostic and Treatment Center Extension Clinic,220-03 Hillside Avenue,Queens Village,New York,"11362"
NYU Langone Center for Women's Health,"-73.954582","40.777412",Hospital Extension Clinic,207 East 84th Street,New York,New York,"10028"
"New York Surgery Center Queens, LLC","-73.912224","40.758976",Diagnostic and Treatment Center,46-04 31st Avenue,Long Island City,New York,"11103"
"PBGS, LLC","-73.982219","40.689857",Diagnostic and Treatment Center,14 DeKalb Avenue,Brooklyn,New York,"11201"
Bronx Treatment Center,"-73.92278","40.838428",Diagnostic and Treatment Center,1250 Shakespeare Avenue,Bronx,New York,"10452"
PS 161/Pedro Albizu Campos,"-73.952904","40.817547",School Based Diagnostic and Treatment Center Extension Clinic,499 W 133 Street,New York,New York,"10027"
Bushwick Communicare Center,"-73.918319","40.694283",Diagnostic and Treatment Center Extension Clinic,335 Central Avenue,Brooklyn,New York,"11221"
NYU Langone Ambulatory Care Services,"-73.979767","40.73735",Hospital Extension Clinic,324 East 23rd Street,New York,New York,"10010"
Center for Womens Health,"-74.085876","40.583263",Hospital Extension Clinic,440 Seaview Avenue,Staten Island,New York,"10305"
South Beach Psychiatric Center,"-74.078171","40.579605",Hospital Extension Clinic,777 Seaview Avenue,Staten Island,New York,"10305"
In-Tech Academy,"-73.911943","40.877849",School Based Diagnostic and Treatment Center Extension Clinic,"2975 Tibbett Avenue, Room 123",Bronx,New York,"10453"
Samaritan Health Service University,"-73.926102","40.842339",Diagnostic and Treatment Center Extension Clinic,1381 University Ave,Bronx,New York,"10452"
NY Eye & Ear Infirmary Ext Clinic,"-73.981209","40.737343",Hospital Extension Clinic,380 Second Avenue,New York,New York,"10010"
Montefiore Radiology Ext Clinic,"-73.846642","40.845688",Hospital Extension Clinic,1635 Poplar Street,Bronx,New York,"10461"
"The Rogosin Institute at Methodist Home for Nursing and Rehabilitation, LLC","-73.903015","40.890535",Diagnostic and Treatment Center,4499 Manhattan College Parkway,Bronx,New York,"10471"
Beth Israel Med Center 8 & 8-D,"-73.946678","40.80822",Hospital Extension Clinic,140 West 125th Street,New York,New York,"10027"
"Inwood Diagnostic and Treatment Center, Inc.","-73.928177","40.862072",Diagnostic and Treatment Center,"47 Sickles Street, 1a",New York,New York,"10040"
United Wire Metal & Machine Medical Center,"-73.936602","40.756306",Diagnostic and Treatment Center,24-09 38th Avenue,Long Island City,New York,"11101"
Barnabas Hospital Methadone,"-73.890892","40.854229",Hospital Extension Clinic,4535-39 Third Avenue,Bronx,New York,"10457"
Long Island Jewish Medical Center Primary Care Extension Clinic,"-73.714841","40.745637",Hospital Extension Clinic,256-11 Union Turnpike,Glen Oaks,New York,"11004"
Brooklyn Health Center,"-73.978214","40.687495",Diagnostic and Treatment Center Extension Clinic,265 Ashland Place,Brooklyn,New York,"11217"
Lenox Hill Hospital,"-73.960632","40.773907",Hospital,100 East 77th Street,New York,New York,"10021"
"Century Medical and Dental Center, Inc.","-73.98051","40.693325",Diagnostic and Treatment Center Extension Clinic,180 Myrtle Avenue,Brooklyn,New York,"11201"
Cliffside Renal Dialysis,"-73.847572","40.775177",Diagnostic and Treatment Center,119-19 Graham Court,Flushing,New York,"11354"
New Alternatives for Children Inc,"-73.989883","40.744228",Diagnostic and Treatment Center,37 West 26th Street,New York,New York,"10010"
John Adams High School,"-73.83697","40.678603",School Based Hospital Extension Clinic,101-01 Rockaway Blvd,Jamaica,New York,"11417"
MHHC Mobile Unit,"-73.910629","40.85471",School Based Diagnostic and Treatment Center Extension Clinic,85 West Burnside Avenue,Bronx,New York,"10453"
FKC - St. Ann's Dialysis,"-73.910337","40.81975",Diagnostic and Treatment Center Extension Clinic,794 St. Ann's Avenue,Bronx,New York,"10467"
X 162 Campus,"-73.912203","40.815419",School Based Diagnostic and Treatment Center Extension Clinic,600 Saint Ann's Avenue,Bronx,New York,"10455"
Williamsbridge Home Dialysis Center,"-73.866557","40.878051",Diagnostic and Treatment Center Extension Clinic,"3525 White Plains Road, Suite A",Bronx,New York,"10467"
The Endoscopy Center of New York,"-73.950852","40.783381",Diagnostic and Treatment Center,201 East 93rd Street,New York,New York,"10128"
HSS Ambulatory Care Clinic,"-73.953827","40.766956",Hospital Extension Clinic,475 East 72nd Street,New York,New York,"10021"
Lenox Hill Hosp Center for Mental Health,"-73.957077","40.770443",Hospital Extension Clinic,1430 Second Avenue,New York,New York,"10021"
Primary Care Center,"-73.931084","40.765949",Hospital Extension Clinic,31-60 21st Street,Astoria,New York,"11102"
Harlem Hospital Center,"-73.940506","40.81435",Hospital,506 Lenox Avenue,New York,New York,"10037"
Island Ambulatory Surgery Center,"-73.961071","40.601518",Diagnostic and Treatment Center,2279 Coney Island Avenue,Brooklyn,New York,"11223"
West 17th Street Family Health Center,"-73.999835","40.740895",Diagnostic and Treatment Center Extension Clinic,230 West 17th Street,New York,New York,"10011"
NYU Langone Hospital-Brooklyn,"-74.020439","40.646591",Hospital,150 55th Street,Brooklyn,New York,"11220"
CenterLight Healthcare D&TC,"-73.828856","40.76248",Diagnostic and Treatment Center Extension Clinic,136-65 37th Avenue,Flushing,New York,"11354"
Fannie Lou Hamer,"-73.886526","40.83148",School Based Diagnostic and Treatment Center Extension Clinic,1001 Jennings Street,Bronx,New York,"10060"
Kingsbrook Jewish Medical Center Inc. - Rutland Nursing Home,"-73.934036","40.659435",Hospital Extension Clinic,585 Schenectady Avenue,Brooklyn,New York,"11203"
Montefiore North Broadway Dental Clinic,"-73.905674","40.876606",Hospital Extension Clinic,5500 Broadway,Bronx,New York,"10463"
Advanced Endoscopy Center,"-73.906044","40.87698",Diagnostic and Treatment Center,5500 Broadway,Bronx,New York,"10463"
PS 257,"-73.9422","40.702295",School Based Hospital Extension Clinic,60 Cook Street,Brooklyn,New York,"11206"
Port Richmond High School,"-74.142015","40.634843",School Based Hospital Extension Clinic,85 St. Joseph's Avenue,Staten Island,New York,"10302"
First Medcare Primary Care Center - School-Based Mobile Dental Equipment Clinic,"-73.908157","40.638958",School Based Diagnostic and Treatment Center Extension Clinic,8707 Flatlands Avenue,Brooklyn,New York,"11236"
Mount Hope Dialysis Center,"-73.899925","40.848656",Diagnostic and Treatment Center Extension Clinic,"1940 Webster Avenue, Suite 200",Bronx,New York,"10457"
Ezra Medical Center,"-73.999557","40.628975",Diagnostic and Treatment Center Extension Clinic,1260-78 60th Street,Brooklyn,New York,"11219"
Center for Health Services-Midwood,"-73.947487","40.631809",Hospital Extension Clinic,2171 Nostrand Ave,Brooklyn,New York,"11210"
East New York Dialysis,"-73.902938","40.657188",Diagnostic and Treatment Center Extension Clinic,54 New Lots Avenue,Brooklyn,New York,"11212"
Greater New York Endoscopy Surgical Center,"-73.946373","40.583855",Diagnostic and Treatment Center,2211 Emmons Avenue,Brooklyn,New York,"11235"
Bellevue Hospital Center,"-73.976509","40.739605",Hospital,462 First Avenue,New York,New York,"10016"
Brooklyn Dialysis Center,"-73.959801","40.678535",Diagnostic and Treatment Center,915 Dean Street,Brooklyn,New York,"11238"
Kingsbrook Jewish Medical Center,"-73.934036","40.659435",Hospital,585 Schenectady Avenue,Brooklyn,New York,"11203"
Sea Crest Dialysis Center,"-73.990344","40.572156",Diagnostic and Treatment Center,3035 West 24th Street,Brooklyn,New York,"11224"
Third Avenue Family Health Center,"-73.925056","40.811897",Diagnostic and Treatment Center Extension Clinic,2604 Third Avenue,Bronx,New York,"10451"
West Farms Dialysis,"-73.866844","40.840172",Diagnostic and Treatment Center Extension Clinic,1820 East Tremont  Avenue,Bronx,New York,"10460"
Borough Park Dialysis,"-73.987579","40.639481",Diagnostic and Treatment Center Extension Clinic,4102 13th Avenue,Brooklyn,New York,"11219"
Lasante Health Center,"-73.950775","40.655961",Diagnostic and Treatment Center,672 Parkside Avenue,Brooklyn,New York,"11226"
Main Street Radiology at Bayside LLC,"-73.783749","40.758674",Diagnostic and Treatment Center,32-25 Francis Lewis Blvd,Bayside,New York,"11361"
Mosholu Avenue Primary Care Center,"-73.902298","40.904621",Hospital Extension Clinic,5626 Mosholu Avenue,Bronx,New York,"10471"
Freedom Center of Queens,"-73.792292","40.725778",Diagnostic and Treatment Center Extension Clinic,176-35 Union Turnpike,Fresh Meadows,New York,"11366"
Planned Parenthood Project Street Beat Mobile Health Center,"-73.993538","40.725521",Mobile Diagnostic and Treatment Center Extension Clinic,26 Bleecker Street,New York,New York,"10012"
Union Health Center-ILGWU,"-73.994385","40.745678",Diagnostic and Treatment Center,275 Seventh Avenue,New York,New York,"10001"
Dental Center at North Central Bronx Hospital,"-73.881538","40.880512",Hospital Extension Clinic,3424 Kossuth Avenue,Bronx,New York,"10467"
Callen-Lorde Mobile Medical Unit,"-74.003119","40.743019",Mobile Diagnostic and Treatment Center Extension Clinic,356 West 18th Street,New York,New York,"10011"
WCIMA at Payson House,"-73.953384","40.771263",Hospital Extension Clinic,"1321 York Avenue, 1st Floor",New York,New York,"10021"
Housing Works East New York,"-73.874649","40.674953",Diagnostic and Treatment Center,2640 Pitkin Avenue,Brooklyn,New York,"11208"
Damian Family Care Center,"-73.815186","40.702442",Diagnostic and Treatment Center,137-50 Jamaica Avenue,Jamaica,New York,"11435"
Care for the Homeless,"-73.903506","40.672721",Diagnostic and Treatment Center Extension Clinic,91 Junius Street,Brooklyn,New York,"11212"
"Community Health Center of Richmond, Inc.","-74.138466","40.63139",Diagnostic and Treatment Center Extension Clinic,439 Port Richmond Avenue,Staten Island,New York,"10302"
Maimonides Women's Services 9th Avenue,"-73.998276","40.642967",Hospital Extension Clinic,4422 9th Avenue,Brooklyn,New York,"11219"
BronxCare Health & Wellness Center,"-73.909622","40.843124",Hospital Extension Clinic,199 Mount Eden Parkway,Bronx,New York,"10457"
MS061 Dr. Gladstone H. Atwell,"-73.948375","40.663889",School Based Hospital Extension Clinic,400 Empire Boulevard,Brooklyn,New York,"11225"
Midtown Surgery Center,"-73.961856","40.763335",Diagnostic and Treatment Center,1210 Second Avenue,New York,New York,"10017"
MS 293 - Global Studies,"-73.993423","40.685398",School Based Hospital Extension Clinic,284 Baltic Street,Brooklyn,New York,"11201"
Montefiore Rehab Medical Associates,"-73.844894","40.845501",Hospital Extension Clinic,1500 Blondell Avenue,Bronx,New York,"10461"
X148 Charles Drew Educational Campus,"-73.904429","40.833504",School Based Diagnostic and Treatment Center Extension Clinic,3630 Third Ave,Bronx,New York,"10456"
PS 197/John Russwurm,"-73.937309","40.813297",School Based Diagnostic and Treatment Center Extension Clinic,2230 Fifth Avenue,New York,New York,"10037"
Montefiore Medical Center - Montefiore Medical Group- East Tremont Avenue,"-73.820165","40.823535",Hospital Extension Clinic,3860 East Tremont Avenue,Bronx,New York,"10465"
Planned Parenthood Diane L. Max Queens Health Center,"-73.946145","40.746553",Diagnostic and Treatment Center Extension Clinic,21-41 45th Road,Long Island City,New York,"11101"
Pierre Toussaint Family Health Care Center,"-73.931625","40.668373",Hospital Extension Clinic,1110 Eastern Parkway,Brooklyn,New York,"11213"
Broadway Dialysis Center,"-73.885719","40.74432",Diagnostic and Treatment Center Extension Clinic,79-01 Broadway,Elmhurst,New York,"11373"
HSS Queens Outpatient Center,"-73.790661","40.725754",Hospital Extension Clinic,176-60 Union Turnpike,Fresh Meadows,New York,"11366"
NYU Langone Levit Medical Arts Pavilion,"-73.961128","40.610073",Hospital Extension Clinic,1220 Avenue P,Brooklyn,New York,"11229"
Morrisania-Mott Haven,"-73.903343","40.832485",Diagnostic and Treatment Center Extension Clinic,1309 Fulton Ave,Bronx,New York,"10456"
Fort Hamilton Clinic Treatment Program,"-74.026909","40.6208",Hospital Extension Clinic,8710 Fifth Avenue,Brooklyn,New York,"11209"
Intermediate School 45,"-73.887108","40.858738",School Based Hospital Extension Clinic,2502 Lorrilard Avenue,Bronx,New York,"10458"
Little Neck Dialysis,"-73.736413","40.770393",Diagnostic and Treatment Center Extension Clinic,252-17 Northern Boulevard,Little Neck,New York,"11362"
Myrtle Avenue Dialysis Center,"-73.979587","40.693331",Hospital Extension Clinic,218 Myrtle Avenue,Brooklyn,New York,"11201"
Weill Cornell Imaging at NYP-West Side,"-73.977875","40.786949",Diagnostic and Treatment Center Extension Clinic,2315 Broadway,New York,New York,"10024"
Rogosin Kidney Center - Auburndale,"-73.793915","40.760899",Diagnostic and Treatment Center Extension Clinic,39-20 Utopia Parkway,Queens,New York,"11318"
P.S. 091 The Albany Avenue School,"-73.940141","40.661837",School Based Hospital Extension Clinic,532 Albany Avenue,Brooklyn,New York,"11203"
"CHC Surgical Center, LLC","-73.984632","40.701969",Diagnostic and Treatment Center,79 Bridge Street,Brooklyn,New York,"11201"
P.S. 90,"-73.979668","40.578487",School Based Hospital Extension Clinic,2840 W. 12th Street,Brooklyn,New York,"11224"
Metro Community Health Center Brooklyn,"-73.93297","40.66324",Diagnostic and Treatment Center Extension Clinic,842 A Lefferts Avenue,Brooklyn,New York,"11203"
Melrose Dialysis,"-73.915253","40.815529",Diagnostic and Treatment Center Extension Clinic,459 East 149th Street,Bronx,New York,"10455"
